Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm)
2.0,-17432.0,0.52,769.5,675
3.0,-16932.0,11.57,770.0,675
4.0,-16432.0,15.96,770.5,675
5.0,-15932.0,18.44,771.0,675
6.0,-15432.0,19.35,771.5,675
7.0,-14932.0,20.55,772.0,675
8.0,-14432.0,26.4,772.5,675
9.0,-13932.0,23.26,773.0,675
10.0,-13432.0,27.73,773.5,675
11.0,-12932.0,28.91,774.0,675
12.0,-12432.0,34.15,774.5,675
13.0,-11932.0,32.97,775.0,675
14.0,-11432.0,39.18,775.5,675
15.0,-10932.0,42.86,776.0,675
16.0,-10432.0,47.4,776.5,675
17.0,-9932.0,49.2,777.0,675
18.0,-9432.0,51.88,777.5,675
19.0,-8932.0,52.83,778.0,675
20.0,-8432.0,59.97,778.5,675
21.0,-7932.0,62.09,779.0,675
22.0,-7432.0,63.58,779.5,675
23.0,-6932.0,68.78,780.0,675
24.0,-6432.0,75.87,780.5,675
25.0,-5932.0,71.8,781.0,675
26.0,-5432.0,72.79,781.5,675
27.0,-4932.0,77.28,782.0,675
28.0,-4432.0,84.18,782.5,675
29.0,-3932.0,86.54,783.0,675
30.0,-3432.0,77.43,783.5,675
31.0,-2932.0,83.12,784.0,675
32.0,-2432.0,88.81,784.5,675
33.0,-1932.0,80.47,785.0,675
34.0,-1432.0,91.5,785.5,675
35.0,-932.0,103.86,786.0,675
36.0,-432.0,106.72,786.5,675
37.0,68.0,112.72,787.0,675
38.0,568.0,117.24,787.5,675
39.0,1068.0,115.56,788.0,675
40.0,1568.0,128.33,788.5,675
41.0,2068.0,108.65,789.0,675
42.0,2568.0,117.33,789.5,675
43.0,3068.0,126.35,790.0,675
44.0,3568.0,133.29,790.5,675
45.0,4068.0,125.21,791.0,675
46.0,4568.0,136.13,791.5,675
47.0,5068.0,137.61,792.0,675
48.0,5568.0,135.36,792.5,675
49.0,6068.0,142.05,793.0,675
50.0,6568.0,142.55,793.5,675
51.0,7068.0,155.34,794.0,675
52.0,7568.0,166.43,794.5,675
53.0,8068.0,166.5,795.0,675
54.0,8568.0,167.49,795.5,675
55.0,9068.0,159.41,796.0,675
56.0,9568.0,180.61,796.5,675
57.0,10068.0,176.18,797.0,675
58.0,10568.0,186.4,797.5,675
59.0,11068.0,190.58,798.0,675
60.0,11568.0,202.61,798.5,675
61.0,12068.0,207.84,799.0,675
62.0,12568.0,214.77,799.5,675
63.0,13068.0,219.73,800.0,675
64.0,13568.0,217.81,800.5,675
65.0,14068.0,226.06,801.0,675
66.0,14568.0,230.35,801.5,675
67.0,15068.0,238.55,802.0,675
68.0,15568.0,249.8,802.5,675
69.0,16068.0,254.73,803.0,675
70.0,16568.0,260.05,803.5,675
71.0,17068.0,263.92,804.0,675
72.0,17568.0,275.51,804.5,675
73.0,18068.0,278.57,805.0,675
74.0,18568.0,233.24,805.5,675
75.0,19068.0,249.58,806.0,675
76.0,19568.0,256.42,806.5,675
77.0,20068.0,267.95,807.0,675
78.0,20568.0,261.46,807.5,675
79.0,21068.0,370.94,808.0,675
80.0,21568.0,455.8,808.5,675
81.0,22068.0,510.42,809.0,675
82.0,22568.0,631.88,809.5,675
83.0,23068.0,763.96,810.0,675
84.0,23568.0,859.9,810.5,675
85.0,24068.0,968.06,811.0,675
86.0,24568.0,1066.36,811.5,675
